Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-12-18,-0.411774,54.279753,,0.02,2017-12-18,6,6,6,Demolition of existing building and construction of new building to house 6 new 2 bedroomed self contained flats,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2015-04-21,full planning permission,,permissioned,"35 - 37 Roscoe Street, Scarborough",BR-017,https://tinyurl.com/ybysdp6j,,,
yes,,2017-12-18,-0.416333,54.272595,,0.06,2017-12-18,5,5,5,Demolition of existing garages and erection of 5 No. two bedroom dwellings,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2015-06-23,full planning permission,,permissioned,"Spring Bank Yard, Spring Bank, Scarborough",BR-018,https://tinyurl.com/y7nhwuo2,,,
yes,,2017-12-18,-0.409098,54.292607,,1.1,2017-12-18,24,24,24,"Reserved matters application for a multiplex cinema, multi-storey car park, associated commercial units and residential apartments in relation to the development approved in outline under reference 15/01305/OL",Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,owned by a public authority,2016-10-10,reserved matters approval,,permissioned,"The Sands Development Site, Burniston Road, Scarborough",BR-019,https://tinyurl.com/ybybd2p8,,,
yes,,2017-12-18,-0.400072,54.280084,,0.08,2017-12-18,33,33,33,Construction of student accommodation comprising 19 no. flats and 34 no. studio units along with associated access works,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2016-11-29,full planning permission,,permissioned,"24 Vernon Road, Scarborough",BR-020,https://tinyurl.com/ycdskqco,,,
yes,,2017-12-18,-0.619381,54.484327,,0.14,2017-12-18,13,13,13,Approval of Reserved matters redevelopment of site by means of 10 no dwellinghouses and 4 no flats,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2003-08-07,reserved matters approval,,permissioned,"Bagdale Garage, Bagdale, Whitby",BR-022,https://tinyurl.com/ybtsk87x,,,
yes,,2017-12-18,-0.616602,54.488016,,0.14,2017-12-18,13,13,13,"Erection of 10 apartments and 3 houses with associated garaging, access, landscaping including demolition of existing vacant garage building",Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2008-02-05,full planning permission,,permissioned,"Universal Garage Co Ltd, Silver Street, Whitby",BR-023,https://tinyurl.com/ychksawg,,,
yes,,2017-12-18,-0.625737,54.489971,,0.14,2017-12-18,14,14,14,Demolition of existing garage and erection of 14 no. flats with parking and alterations to existing building to create a dwelling,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2016-09-16,full planning permission,,permissioned,"Argyle Garage, Argyle Road, Whitby",BR-024,https://tinyurl.com/yd33v8wd,,,
yes,,2017-12-18,-0.410554,54.284293,,0.34,2017-12-18,24,24,24,Demolition of existing premises and construction of retail units and dwellings,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2017-06-06,outline planning permission,,permissioned,"GT Garages, Columbus Ravine, Scarborough",BR-026,https://tinyurl.com/yajdjj8f,,,
,,2017-12-18,-0.28992,54.212202,,0.18,2017-12-18,20,20,20,The site was previously derelict although there is now a car repair use there (planning application forthcoming April 2017). It remains an option for brownfield housing development and could accommodate circa 20 units on the site.,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,,,,not permissioned,"Old Laundrette, Laundry Road, Filey",BR-027,https://tinyurl.com/yacr2osx,,,
,,2017-12-18,-0.294131,54.211255,,0.2,2017-12-18,12,12,12,"The site is behind a recently developed apartment scheme. It is shoe-horned in between housing and appears to be in some form of storage use, albeit the buildings are run-down. The site could accommodate a minimum of 12 units on the site, more depending on the form of housing.",Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,,,,not permissioned,"Land at Carlton Road, Filey",BR-028,https://tinyurl.com/yantmuky,,,
,,2017-12-18,-0.412059,54.282327,,0.5,2017-12-18,30,30,30,The site is in employment use and was identified in the SHELAA as a site that would be appropriate for residential use if it became available. It is unknown if this is deliverable in the short term but if so it could accommodate circa 30 dwellings.,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,,,,not permissioned,"Land at Cleveland Road, Scarborough",BR-029,https://tinyurl.com/y6us6dxk,,,
,,2017-12-18,-0.409328,54.284242,,0.6,2017-12-18,30,30,30,Demolition of existing premises and construction of retail units and dwellings. Awaiting S106.,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,,outline planning permission,,permissioned,"Land at Melrose Street, Scarborough",BR-030,https://tinyurl.com/ybdqm8ov,,,
yes,,2017-12-18,-0.399002,54.283908,,0.03,2017-12-18,9,9,9,Proposed conversion of former auction rooms and offices to 9no flats,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,,full planning permission,,permissioned,"14-15 Queen Street, Scarborough",BR-032,https://tinyurl.com/y7yvmvbx,,,
yes,,2017-12-18,-0.403342,54.282113,,0.09,2017-12-18,9,9,9,Extension to time limit relating to application reference 07/01824/FL for the demolition of two dwellings and carpet warehouse and the erection of 24 self contained two bedroomed flats,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,,full planning permission,,permissioned,"Warehouse adjacent to 19/20 Albemarle Crescent, Scarborough",BR-033,https://tinyurl.com/y7q53rnc,,,
yes,,2017-12-18,-0.399484,54.26591,,2.41,2017-12-18,40,40,40,Site is to be available shortly (Summer 2017) following the opening of the new Weaponness Leisure Village. This site could accommodate a minimum of 40 dwellings in a combination of houses and apartment. This could ne reduced if a suitable mixed scheme was proposed.,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,owned by a public authority,,,,not permissioned,"Filey Road Sports Club, Scarborough",BR-034,https://tinyurl.com/y8fkd2wd,,,
yes,,2017-12-18,-0.330221,54.220587,,1.61,2018-01-21,40,40,40,Site is to the south of current permission for residential development and is suitable for further residential development on the footprint of the existing industrial units and hardstanding areas. It is considered the site could accommodate circa 40 units as included in the housing trajectory of the Local Plan.,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,,,,not permissioned,"Electricity Building, Filey Road, Gristhorpe (Phase 2)",BR-035,https://tinyurl.com/ybkfgmns,,,
yes,,2017-12-18,-0.392419,54.264774,,0.77,2017-12-18,27,27,27,"Demolition of Hylands House and garage and erection of 1 no. four storey block of apartments and 2 no. three storey blocks of apartments to create 27 no. new dwellings, with access from Holbeck Hill",Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,,full planning permission,,permissioned,"Hylands, Filey Road, Scarborough",BR-036,https://tinyurl.com/ycaf4zgs,,,
yes,,2017-12-18,-0.418473,54.273657,,0.32,2017-12-18,20,20,20,Outline application for demolition of existing hotel and construction of dwellings and apartments and conversion of end terrace property to flats. The proposal is for circa 20 to 25 flats.,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,,outline planning permission,,permissioned,"Green Gables Hotel, West Bank, Scarborough",BR-037,https://tinyurl.com/yblf798w,,,
yes,,2017-12-18,-0.399048,54.286299,,0.06,2017-12-18,6,6,6,The site could be redeveloped for housing for between 6 and 10 dwellings.,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,,,,not permissioned,"Marlborough Street, Scarborough",BR-038,https://tinyurl.com/yblbmzos,,,
yes,,2017-12-18,-0.404633,54.278113,,0.83,2017-12-18,50,50,50,Site is allocated in the Local Plan (Ref: HA2). Conversion of college building (listed) into circa 50 apartments.,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,,,,not permissioned,"Westwood Campus Site, Valley Bridge, Scarborough",BR-039,https://tinyurl.com/ybvzm55b,,,
yes,,2017-12-18,-0.429811,54.28406,,0.43,2017-12-18,30,30,30,Site is allocated in the Local Plan (Ref: HA3). Redevelopment of County Council premises - Day Centre.,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,owned by a public authority,,,,not permissioned,"101 Prospect Mount Road, Scarborough",BR-040,https://tinyurl.com/y7ancmef,,,
yes,,2017-12-18,-0.436554,54.284085,,4.62,2017-12-18,140,140,140,Site is allocated in the Local Plan (Ref: HA4). Redevelopment of college site.,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,,,,not permissioned,"Land at Yorkshire Coast College, Lady Edith's Drive, Scarborough",BR-041,https://tinyurl.com/y7gjtsw4,,,
yes,,2017-12-18,-0.628771,54.487417,,1.45,2017-12-18,50,50,50,Part of site approved for 20 dwellings (see BR-029). Remainder of site could accommodate up to 30 units. (Ref: HA16),Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,owned by a public authority,2016-11-10,full planning permission,,permissioned,"Land off Stakesby Road, Whitby (part of)",BR-043,https://tinyurl.com/ycwul5cn,,,
yes,,2017-12-18,-0.611225,54.479038,,0.7,2017-12-18,20,20,20,Site is allocated in Local Plan (Ref: HA20). Redevelopment of County Council premises - Care Home.,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,owned by a public authority,,,,not permissioned,"Residential Care Home, 1 Larpool Lane, Whitby",BR-045,https://tinyurl.com/y9zt8ets,,,
yes,,2017-12-18,-0.294638,54.210858,,0.3,2017-12-18,30,30,30,Site is allocated in Local Plan (Ref: HA25). Redevelopment of County Council premises - Care Home),Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,owned by a public authority,,,,not permissioned,"Silver Birches, Station Avenue, Filey",BR-046,https://tinyurl.com/ybwhywcu,,,
yes,,2018-09-05,-0.40937,54.28942,,0.03,2018-09-05,5,5,5,Conversion of residential rest home to 5 no. flats,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2018-02-21,full planning permission,,permissioned,"99 Peasholm Drive, Scarborough",BR-049,https://tinyurl.com/ya4spj9s,,,
yes,,2017-12-18,-0.40003,54.28111,,0.03,2018-09-05,8,8,8,"Alterations, extension and change of use of upper floors from offices to flats and installation of new shop front",Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2018-03-14,full planning permission,,permissioned,"Goodie New Shoes, 37-39 Huntriss Row, Scarborough",BR-050,https://tinyurl.com/y7qgmk4s,,,
yes,,2018-09-05,-0.39896,54.28357,,0.01,2018-09-05,9,9,9,Conversion of existing building into 9 apartments with associated alterations,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2018-03-22,full planning permission,,permissioned,"13 Queen Street, Scarborough",BR-051,https://tinyurl.com/y7semczm,,,
yes,,2018-09-05,-0.61805,54.49009,,0.02,2018-09-05,8,8,8,Change of use of part of Hotel to self contained apartments with associated external alterations,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2018-02-23,full planning permission,,permissioned,"Sandbech Hotel, 1-2 Crescent Terrace, Whitby",BR-052,https://tinyurl.com/y6w5ojkh,,,
yes,,2018-09-05,-0.39532,54.23947,,0.39,2018-09-05,29,29,29,Erection of 29 no. affordable apartments for older persons,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,owned by a public authority,2018-03-06,full planning permission,,permissioned,"Braeburn House, Moor Lane, Eastfield",BR-053,https://tinyurl.com/y82tozwa,,,
yes,,2018-09-05,-0.39385,54.26444,,0.19,2018-09-05,18,18,18,Demolition of existing building and construction of 18no unit apartment block with car park and communal garden to the rear,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2018-03-29,full planning permission,,permissioned,"84 Filey Road, Scarborough",BR-054,https://tinyurl.com/yazse7sz,,,
yes,,2018-09-05,-0.44207,54.2951,,1.49,2018-09-05,63,63,63,"Outline application for 24 dwellings, GPs surgery and 59 room Extra Care building, with full details of the Extra care building and new vehicular access",Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2018-01-12,full planning permission,,permissioned,"Former Scarborough Rugby Union Football Club, Scalby Road, Scalby, Scarborough",BR-056,https://tinyurl.com/y7e3f4b5,,,
yes,,2018-09-05,-0.42527,54.29479,,0.17,2018-09-05,8,8,8,Construction of 8 no. two bedroom apartments with on site parking,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2018-02-01,full planning permission,,permissioned,"Former site of 79 Cross Lane, Newby",BR-057,https://tinyurl.com/yc8pasgo,,,
yes,,2017-12-18,-0.405644,54.284543,,0.48,2018-09-05,30,30,30,Site is allocated in the Local Plan (Ref: HA5). Redevelopment of former St Mary's Hospital site.,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,,,,not permissioned,"Land at Dean Road, Scarborough",BR-059,https://tinyurl.com/ya9rxjvr,,,
yes,,2017-12-18,-0.330164,54.222375,,2.4,2018-09-05,45,45,45,"Demolition of offices and industrial buildings and erection of 45 residential dwellings including 7 affordable houses, creation of retail shop (A1), open space and associated infrastructure",Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2018-01-23,reserved matters approval,,permissioned,"Electricity Building, Filey Road, Gristhorpe",BR-060,https://tinyurl.com/y8kclfl6,,,
yes,,2019-11-12,-0.288006,54.209164,,0.19,2019-11-12,8,8,8,Development of 8 dwellings,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2018-04-19,full planning permission,,permissioned,"Three Tuns Hotel, 26-30 Murray Street, Filey",BR-061,https://tinyurl.com/qst3vje,,,
yes,,2019-11-12,-0.551104,54.227165,,0.1,2019-11-12,7,7,7,Conversion of existing building to form 2 no. dwellings and the erection of 5 no. dwellings with associated garages and car ports,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2018-09-04,full planning permission,,permissioned,"The Forge Tearooms, High Street, Brompton",BR-062,https://tinyurl.com/wfzjqmz,,,
yes,,2019-11-12,-0.442005,54.29638,,0.08,2019-11-12,10,10,10,Erection of ten unit apartment block with associated parking and soft landscaping,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2018-10-08,full planning permission,,permissioned,"454 Scalby Road, Scalby",BR-063,https://tinyurl.com/wcejz6h,,,
yes,,2019-11-12,-0.405259,54.280997,,0.01,2019-11-12,5,5,5,Conversion to form 5 No. flats and new dormer extension,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2018-06-19,full planning permission,,permissioned,"23 Alma Square, Scarborough",BR-064,https://tinyurl.com/v439kqp,,,
yes,,2019-11-12,-0.403743,54.281274,,0.01,2019-11-12,16,16,16,Change of use of No. 62 from guest house to residential,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2018-11-14,full planning permission,,permissioned,"Albemarle Chambers, Albemarle Crescent, Scarborough",BR-065,https://tinyurl.com/y6w5ojkh,,,
yes,,2019-11-12,-0.404361,54.280383,,0.15,2019-11-12,43,43,43,Change of use from offices to residential,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2019-08-15,full planning permission,,permissioned,"Pavilion House, Valley Bridge Road, Scarborough",BR-066,https://tinyurl.com/r65pxov,,,
yes,,2019-11-12,-0.418074,54.279683,,0.67,2019-11-12,40,40,40,Demolition of Nursery Buildings and erection of 40 units,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,owned by a public authority,,,,not permissioned,"Manor Road Nurseries, Scarborough",BR-067,https://tinyurl.com/rayvsab,,,
yes,,2019-11-12,-0.397547,54.283412,,0.3,2019-11-12,95,95,95,Demolition of building and erection of student and key worker flats,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,owned by a public authority,,,,not permissioned,"Former Argos Building, Scarborough",BR-068,https://tinyurl.com/tjk5xcy,,,
yes,,2019-11-12,-0.617857,54.483743,,0.67,2019-11-12,60,60,60,Demolition of part of hospital and erection of extra care,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,owned by a public authority,,,,not permissioned,"Whitby Hospital (Part of), Springhill, Whitby",BR-069,https://tinyurl.com/r4a2rtj,,,
